composition_formula,hydrogen_weight_percent,heat_of_formation,temperature,pressure,HtoM,source,phase,
Ti0.325V0.275Zr0.125 Nb0.275,2.7,,20,,1.8,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
Ti0.325V0.275Zr0.125Nb0.275,2.5,,250,,1.7,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
Ti0.325V0.275Zr0.125Nb0.275,,,25,40,1.75,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0034,BCC,
Ti0.325V0.275Zr0.125Nb0.275,,,250,30,1.7,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0035,BCC,
Ti0.325V0.275Zr0.125Nb0.275,,,25,70,1.8,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0036,BCC,
Ti0.45V0.55Ni.05,3.3,,,,,updated Hydpark,,
Ti0.45V0.5Ni.05,3.3,,,,,updated Hydpark,,
Ti0.48V0.5Co.02,3.6,,,,,updated Hydpark,,
Ti0.48V0.5Fe.02,3.8,,,,,updated Hydpark,,
Ti0.48V0.5Fe.02,3.92,,,,,updated Hydpark,,
Ti0.4V0.6,3.2,,,,,updated Hydpark,,
Ti0.5VZrHfNb,,,0,,1.97,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
Ti0.5Zr0.5,2.1,,,,,updated Hydpark,,
Ti0.5ZrNbHf,,,25,40,1.97,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0038,BCC,
Ti0.65Zr0.35MnCr0.8Fe0.2,1.8,23,50,,,updated Hydpark,,
Ti0.683Zr0.368MnCr0.8Fe0.2,2.05,26,50,,,updated Hydpark,,
Ti0.699Zr0.376MnCr0.8Fe0.2,2.1,25,50,,,updated Hydpark,,
Ti0.6V0.4Ni.02,3.4,,,,,updated Hydpark,,
Ti0.715Zr0.385MnCr0.8Fe0.2,2.2,28,50,,,updated Hydpark,,
Ti0.75Mo0.25,2.5,,,,,updated Hydpark,,
Ti0.82Nb0.18,3.7,,,,,updated Hydpark,,
Ti0.83V0.17,3.7,,,,,updated Hydpark,,
Ti0.85Cr0.15,3.2,,,,,updated Hydpark,,
Ti0.86V0.07Co0.07,1.8,,,,,updated Hydpark,,
Ti1.125Zr0.125Cr0.85Mn1.1Mo0.05,1.5,23,58,,,updated Hydpark,,
Ti20Zr20Nb5Fe40Ni15,1.38,,32,,0.95,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
Ti20Zr20V15Nb15Ta15Hf15,1.5,,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
Ti20Zr20V20Cr20Ni20,1.52,,32,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
Ti20Zr20V20Nb20Ta20,1.6,,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
Ti21.6667V21.6667Nb21.6667Cr35,,44,25,15,1.71,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0044,BCC,
Ti21.667V21.667Nb21.667Cr35,2.8,39,50,,,updated Hydpark,,
Ti21.67V21.67Nb21.67Cr35,,,25,20,1.78,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0043,BCC,
Ti23.333V23.333Nb23.333Cr30,3.1,49,50,,,updated Hydpark,,
Ti23.333V23.333Nb23.3Cr30,,54,25,15,1.89,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0049,BCC,
Ti25V25Nb25Cr25,,,25,20,1.93,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0061,BCC,
Ti25Zr25Nb15V15Ta20,1.7,,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
Ti27.5V27.5Nb20Cr12.5Mn12.7,3.38,,25,,2.1,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
Ti28.333V28.333Nb28.3Cr15,,68,25,28,2.02,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0041,BCC,
Ti28.33V28.33Nb28.33Cr15,,,25,20,1.77,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0042,BCC,
Ti2V3Nb3Cr2,,,25,50,2.07,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0046,BCC,
Ti31.777V31.777Nb31.7Co4.7,,64,25,28,2.03,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0016,BCC,
Ti31V26Nb26Zr12Co5,2.89,,25,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
Ti31V26Nb26Zr12Fe5,2.92,,25,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
Ti31V26Nb26Zr12Ni5,2.93,,25,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
Ti32.067V32.067Nb32.06Ni3.8,,70,25,28,2.07,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0015,BCC,
Ti35V30Nb10Cr25,3.72,,27,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
Ti39.1Cr45.9Mo15,,20.9,353,30,1.3,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0013,BCC,
Ti3V3Nb2Cr2,,,25,50,2.05,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0045,BCC,
Ti41.4Cr48.6Mo10,,36.6,353,30,1.39,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0012,BCC,
Ti43.7Cr51.3Mo5,,42.31,353,30,1.27,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0008,BCC,
Ti4V3NbCr2,3.7,,27,,2.01,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
Ti4V3NbCr2,,,25,50,2.06,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0024,BCC,
Ti4V3NbCr2Fe,,,25,50,1.95,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0073,BCC,
Ti4V3NbCr2Mn,,,25,50,1.75,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0072,BCC,
Ti4V3NbCr2Ni,,,25,50,2.05,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0074,BCC,
Ti54Cr63V10,,,353,30,1.71,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0010,BCC,
TiHfZrNb0.9V1.1,,,25,20,2.14,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0087,BCC,
TiV0.5ZrHfNb,,,20,,1.96,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiV0.5ZrNbHf,,-59.1,25,40,1.96,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0086,BCC,
TiVCrMo,,,,,0.75,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVCrMo,,,25,24,0.73,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0060,BCC,
TiVCrNb,3,47.1,100,0.2,,updated Hydpark,,
TiVCrNb,,,,,2,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVCrNb,,,100,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVCrNb,,48.7,100,20,1.9,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0053,BCC,
TiVCrNb,,,25,45,1.93,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0058,BCC,
TiVCrNbMo,,,,,1.3,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVCrNbMo,,,25,24,1.32,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0096,BCC,
TiVCrNbTa,,,,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVCrNbTa,,,25,24,1.83,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0095,BCC,
TiVHfNb,,,20,,1.99,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVNb,3.1,67,220,,,updated Hydpark,,
TiVNbHf,,,,,2,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVNbHf,,,25,24,1.97,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0056,BCC,
TiVNbHf,,,25,40,1.99,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0063,BCC,
TiVNbMo,,,,,1.5,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVNbMo,,,25,24,1.57,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0059,BCC,
TiVNbTa,,,,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVNbTa,,,,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVNbTa,,,25,24,1.92,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0057,BCC,
TiVNbTa,,,25,20,1.91,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0066,BCC,
TiVZr0.15NbTa0.85,,,,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZr0.15NbTa0.85,,,25,20,1.85,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0076,BCC,
TiVZr0.50NbTa0.50,,,,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZr0.5HfNb,,,20,,1.99,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZr0.5NbHf,,,25,40,1.99,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0084,BCC,
TiVZr0.5NbTa0.5,,,25,20,1.91,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0082,BCC,
TiVZr0.74NbTa0.26,,,,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZr0.74NbTa0.26,,,25,20,1.91,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0081,BCC,
TiVZr1.20Nb,,,,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZr1.2Nb,,,25,20,1.91,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0050,BCC,
TiVZr1.50Nb,,,,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZr1.5Nb,,,25,20,1.93,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0047,BCC,
TiVZr1.75Nb,,,,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZr1.75Nb,,,25,20,1.87,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0039,BCC,
TiVZr2Nb,,,,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZr2Nb,,,25,20,1.98,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0032,BCC,
TiVZrHf,,,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZrHf0.5Nb,,,20,,2,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZrHfNb,2.1,,300,,1.94,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZrHfNb,,,20,,1.99,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZrHfNb,,,300,20,2.01,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0091,BCC,
TiVZrHfNb0.5,,,20,,1.92,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZrNb,,,20,,1.98,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZrNb,,,,,2,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZrNb,,,,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZrNb,,,25,24,2.03,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0055,BCC,
TiVZrNb,,67.6,25,40,1.98,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0062,BCC,
TiVZrNb,,,25,20,1.97,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0065,BCC,
TiVZrNb0.5Hf,,,25,40,1.82,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0085,BCC,
TiVZrNbHf,2.7,,299,,2.5,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZrNbHf,2.7,,300,,2.5,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZrNbHf,1.8,,289,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZrNbHf,,,,,1.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZrNbHf,,,25,24,1.92,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0094,BCC,
TiVZrNbHf,,-61.8,25,40,1.99,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0099,BCC,
TiVZrNbHf,,,299,50,2.5,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0101,BCC,
TiVZrNbHf0.5,,,25,40,2,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0083,BCC,
TiVZrNbTa,1.6,,400,,1.5,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiVZrNbTa,,,25,50,1.5,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0100,BCC,
TiZrCrMnFeNi,1.7,,30,,1,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
TiZrFeMnCrV,1.8,,0,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
TiZrHfMoNb,1.94,,,,2,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiZrHfMoNb,1.18,,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiZrHfMoNb,,,100,5,1.2,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0090,BCC,
TiZrHfMoNbPd0.0025,1.764,,20,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiZrHfMoNbPd0.0025,,,20,5,1.8,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0104,BCC,
TiZrHfMoNbPt0.0025,1.749,,20,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiZrHfMoNbPt0.0025,,,20,5,1.79,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0102,BCC,
TiZrHfMoNbPt0.0025,,,20,5,1.79,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0103,BCC,
TiZrHfNb,,,20,,1.98,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiZrHfScMo,2.14,,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiZrNbCrFe,1.95,,30,,1.35,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
TiZrNbCrFe,1.9,,200,,1.32,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
TiZrNbCrFeNi,1.5,,30,,0.9,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
TiZrNbFeNi,1.64,,32,,1.17,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
TiZrNbHf,,,,,2,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiZrNbHf,,,25,24,2,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0054,BCC,
TiZrNbHf,,,300,40,1.98,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0064,BCC,
TiZrNbHfTa,1.7,,300,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiZrNbHfTa,,,300,,2,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiZrNbHfTa,,,300,41,2.1,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0098,BCC,
TiZrNbMoV,0.61,,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiZrNbMoV,2.3,,50,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiZrNbMoV,0.59,,50,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiZrNbMoV,,,25,85,1.91,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0067,BCC,
TiZrNbTa,1.25,,220,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiZrNbTa,1.67,,20,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiZrNbTa,1.4,,27,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
TiZrNbTa,,,20,1,1.74,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0052,BCC,
TiZrVMoNb,2.65,,,,2.05,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
V,3.6,,40,4.8,,updated Hydpark,,
V.37Ti.33Mn.3,2.6,,25,2,,updated Hydpark,,
V.49Ti.30Ni.21,1.8,,60,4,,updated Hydpark,,
V.49Ti.43Fe.075,3.9,,150,0.1,,updated Hydpark,,
V.55Ti.30Ni.15,2.5,,60,0.5,,updated Hydpark,,
V.61Ti.30Ni.09,2.1,,60,0.1,,updated Hydpark,,
V.62Ti.2Ni.18,1.2,,,,,updated Hydpark,,
V.667Zr.111Ti.111Fe.111,1.65,,40,0.3,,updated Hydpark,,
V.667Zr.111Ti.111Mn.111,1.7,,40,0.2,,updated Hydpark,,
V.667Zr.111Ti.111Ni.111,1.79,,40,0.6,,updated Hydpark,,
V.67Ti.30Ni.03,2.6,,60,0.05,,updated Hydpark,,
V.67Ti.33,3.88,,,,,updated Hydpark,,
V.690Ti.173Ni.112Co.009Nb.008Ta.008,3,,20,0.45,,updated Hydpark,,
V.6Ti.38Fe.02,4.14,,,,,updated Hydpark,,
V.78Zr0.06(Ti.5Ni.5).16,1.75,,40,1.6,,updated Hydpark,,
V.7Zr0.02Ti.101Cr.17,2.03,,40,,,updated Hydpark,,
V.855Cr.145,2.3,29.7,50,50,,updated Hydpark,,
V.85Ti.15,3.9,,30,0.03,,updated Hydpark,,
V.87Ti.13,3.6,,30,0.08,,updated Hydpark,,
V.8Nb.2,3.1,,45,2,,updated Hydpark,,
V.8Ti.18Fe.02,3.79,,,,,updated Hydpark,,
V.8Ti.2,3,48.1,80,2,,updated Hydpark,,
V.8Ti.2,3.4,60,110,1.8,,updated Hydpark,,
V.96Si.04,3.1,,0,13,,updated Hydpark,,
V.975Zr.02C.005,1.9,,25,1,,updated Hydpark,,
V.983Ta.013,3.28,,40,5.8,,updated Hydpark,,
V.991Ni.009,3.62,,40,6.9,,updated Hydpark,,
V.992Ti.008,3.86,,40,4.2,,updated Hydpark,,
V.995C.005,2.1,,25,2.6,,updated Hydpark,,
V.99Ag.01,3.7,,40,4.3,,updated Hydpark,,
V.99Al.01,3.5,,40,7.2,,updated Hydpark,,
V.99Au.01,3.6,,40,5.1,,updated Hydpark,,
V.99B.01,3.72,,40,4.8,,updated Hydpark,,
V.99Co.01,3.4,,40,6,,updated Hydpark,,
V.99Co.01,3.69,,40,6.9,,updated Hydpark,,
V.99Cr.01,3.5,,40,5,,updated Hydpark,,
V.99Cu.01,3.5,,40,4.1,,updated Hydpark,,
V.99Fe.01,3.5,,40,7,,updated Hydpark,,
V.99Ga.01,3.4,,40,6.2,,updated Hydpark,,
V.99Hf.01,3.6,,40,2.7,,updated Hydpark,,
V.99In.01,3.6,,40,4,,updated Hydpark,,
V.99Ir.01,3.4,,40,9.2,,updated Hydpark,,
V.99Mo.01,3.4,,40,5.8,,updated Hydpark,,
V.99Mo.01,3.81,,40,8,,updated Hydpark,,
V.99Nb.01,3.5,,40,4.3,,updated Hydpark,,
V.99Nb.01,3.69,,40,5.3,,updated Hydpark,,
V.99Ni.01,3.6,,40,5.5,,updated Hydpark,,
V.99Os.01,3.4,,40,11,,updated Hydpark,,
V.99Pd.01,3.5,,40,5.8,,updated Hydpark,,
V.99Pt.01,2.1,,40,9,,updated Hydpark,,
V.99Re.01,3.4,,40,10,,updated Hydpark,,
V.99Rh.01,3.4,,40,6,,updated Hydpark,,
V.99Ru.01,3.4,,40,7.4,,updated Hydpark,,
V.99Si.01,3.3,,40,9,,updated Hydpark,,
V.99Sn.01,3.4,,40,4.2,,updated Hydpark,,
V.99Ta.01,3.5,,40,3.1,,updated Hydpark,,
V.99Ti.01,3.4,,40,2.8,,updated Hydpark,,
V.99W.01,3.5,,40,7.8,,updated Hydpark,,
V.99Zr.01,3.6,,40,3,,updated Hydpark,,
V.99Zr.01,3.8,,40,3.7,,updated Hydpark,,
V.9Ti.1,3.3,,30,0.3,,updated Hydpark,,
V0.02Pd0.98,0.5,30.8,25,0.1,,updated Hydpark,,
V0.3Ti0.3Cr0.25Mn0.1Nb0.05,3.45,,25,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
V0.58Ti0.42,3.8,,,,,updated Hydpark,,
V0.78(Zr.33Ti.33Ni.33)0.22,1.78,,40,1.2,,updated Hydpark,,
V0.855Cr0.145,2.3,29.7,50,50,,updated Hydpark,,
V0.95Cr0.05,3.6,36,50,,,updated Hydpark,,
V0.97Cr0.03,3.8,,40,8.5,,updated Hydpark,,
V0.99W0.01,3.7,,40,,,updated Hydpark,,
V0.9Ti0.1,3.7,,40,0.55,,updated Hydpark,,
V1.0C0.007,3.8,,40,5.6,,updated Hydpark,,
V1.0Fe0.005,3.8,,40,6.3,,updated Hydpark,,
V1.0Ge0.007,3.1,,40,8.2,,updated Hydpark,,
V1.0Si0.009,3.5,,40,11.7,,updated Hydpark,,
V1.0Sn0.005,3.7,,40,5.8,,updated Hydpark,,
V28.5Ti33.25Cr23.75Fe9.5Al5,,,25,40,0.85,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0069,BCC,
V29.25Ti34.13Cr24.375Fe9.75Al2.5,,33.93,25,40,1.52,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0068,BCC,
V29.7Ti34.65Cr24.75Fe9.9Al,,36.18,25,40,1.84,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0037,BCC,
V29.82Ti34.79Cr24.85Fe9.94Al0.6,,36.66,25,40,1.86,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0033,BCC,
V30Ti30Cr25Fe10Nb5,,34.96,25,20,1.49,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0071,BCC,
V30Ti32Cr32Fe6,,,25,30,1.96,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0018,BCC,
V30Ti35Cr25Fe10,,36.66,25,40,1.88,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0026,BCC,
V35Ti30Cr25Fe10,,34.21,25,20,1.71,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0027,BCC,
V35Ti30Cr25Fe5Mn5,,36.2,25,20,1.79,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0048,BCC,
V35Ti30Cr25Mn10,,38.33,25,20,1.88,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0028,BCC,
V46.75Fe10.75Ti28.75Cr8.75La5,,37.9,25,50,1.35,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0030,BCC,
V47.25Fe11.25Ti29.25Cr9.25La3,,39.2,25,50,1.66,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0025,BCC,
V47.5Fe11.5Ti29.5Cr9.5La2,,40,25,50,1.68,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0019,BCC,
V47.75Fe11.75Ti29.75Cr9.75La,,41.4,25,50,1.68,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0017,BCC,
V47Fe11Ti30Cr10Ce2,,42,30,50,1.71,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0021,BCC,
V47Fe11Ti30Cr10La2,,41,30,50,1.68,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0020,BCC,
V47Fe11Ti30Cr10Sc2,,43.3,30,50,1.65,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0023,BCC,
V47Fe11Ti30Cr10Y2,,45,30,50,1.8,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0022,BCC,
V49.8Fe10.2Ti12.667Cr12.6Co12.67,,38.7,25,40,1.88,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0070,BCC,
V49.8Fe10.2Ti13.33Cr13.3Co13.3,,38.28,25,40,2.01,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0051,BCC,
VTiAlCr,1.1,42.7,311,5.3,,updated Hydpark,,
VTiAlTaNb,1.25,56.1,301,0.8,,updated Hydpark,,
VTiZrNb,1.5,67.6,311,0.05,,updated Hydpark,,
VZrHfNb,1,,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
Zr.5Nb.5N.34,1,,,,,updated Hydpark,,
Zr.7Nb.3N.33,1.1,,,,,updated Hydpark,,
Zr.924Nb.024Ti.052,2.2,,800,0.23,,updated Hydpark,,
Zr.927Nb.024V.049,2.7,,800,0.2,,updated Hydpark,,
Zr.935Nb.024Ni.041,2.6,,800,0.19,,updated Hydpark,,
Zr.94V.06,2.1,,,,,updated Hydpark,,
Zr.96Mo.04,2,,,,,updated Hydpark,,
Zr.96Sn.04,1.9,,,,,updated Hydpark,,
Zr.975Nb.025,2.2,219,800,0.2,,updated Hydpark,,
Zr.977Ni.023,2.4,,,,,updated Hydpark,,
Zr.97Cr.03,2.1,,,,,updated Hydpark,,
Zr0.2Ti0.2Ni0.2Cr0.2Mn0.2,1.66,,50,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
Zr0.45Hf0.55,0.9,142,657,0.007,,updated Hydpark,,
Zr0.82Nb0.18,2,,,,,updated Hydpark,,
Zr0.88Nb0.12,1.9,,800,0.21,,updated Hydpark,,
Zr0.975Nb0.025,2.2,219,800,0.2,,updated Hydpark,,
ZrN.28,1.2,,,,,updated Hydpark,,
ZrTiNbMoCr,,,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
ZrTiVAl,1.4,,200,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
ZrTiVCrFeNi,1.81,,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,,
ZrTiVFe,1.67,,200,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
ZrTiVNiCrFe,1.6,,25,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,C14 Laves,
