composition_formula,hydrogen_weight_percent,heat_of_formation,temperature,pressure,HtoM,source,phase,
Mg0.10Ti0.30V0.25Zr0.10Nb0.25,,,298,,1.65,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
Mg0.10Ti0.30V0.25Zr0.10Nb0.25,,,,,0.8,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,FCC,
Mg0.10Ti0.30V0.25Zr0.10Nb0.25,,,25,25,1.72,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0080,BCC,
Mg0.68TiNbNi0.55,1.6,,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
Mg0.68TiNbNi0.55,,,100,30,0.95,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0040,BCC,
Mg12Al11Ti33Mn11Nb33,1.75,,275,,1.05,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
Mg12Al11Ti33Mn11Nb33,,,275,70,1.03,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0075,BCC,
Mg18.8V20.8Al18.8Cr20.2Ni21.4,,,25,30,0.13,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0088,BCC,
Mg28V28Al19Cr19Ni6,0.3,,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
Mg35Al15Ti25V10Zn15,2.5,,375,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
Mg35Al15Ti25V10Zn15,2.75,,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
Mg35Al15Ti25V10Zn15,,,40,100,1,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0077,BCC,
Mg50Co50,,,100,40,0.89,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0006,BCC,
Mg50Ni40B10,,,100,70,0.68,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0011,BCC,
Mg50Ni45B5,,,100,70,0.77,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0009,BCC,
Mg50Ni50,,,100,70,0.74,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0007,BCC,
Mg60Co40,,,100,40,1.03,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0005,BCC,
MgAlTiFeNi,1,,325,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
MgAlTiFeNi,0.94,,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
MgAlTiFeNi,0.3,,598,,0.1,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
MgAlTiFeNi,,,325,15,0.43,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0097,BCC,
MgTiNbCr0.5Mn0.5Ni0.5,1.6,,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
MgTiNbCr0.5Mn0.5Ni0.5,1.6,,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
MgTiNbCr0.5Mn0.5Ni0.5,1.2,,,,0.67,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,FCC,
MgTiNbCr0.5Mn0.5Ni0.5,,,100,30,0.89,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0106,BCC,
MgTiVCrFe,,,,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
