Formula,Material Class,H2 wt %,HtoM,Delta H,Pressure,Temperature,meanatomic_weight,varienceatomic_weight,minatomic_weight,maxatomic_weight,meanX_pauling,varienceX_pauling,minX_pauling,maxX_pauling,meanZ,varienceZ,minZ,maxZ,meanX_mulliken,varienceX_mulliken,minX_mulliken,maxX_mulliken,meandensity,variencedensity,mindensity,maxdensity,meanatomic_radius,varienceatomic_radius,minatomic_radius,maxatomic_radius,meancovalent_radius,variencecovalent_radius,mincovalent_radius,maxcovalent_radius,meancovalent_sphere_volume,meanatomic_volume,varienceatomic_volume,minatomic_volume,maxatomic_volume,meannvalence,variencenvalence,minnvalence,maxnvalence,Packing Fraction,LLD_atomic,LLD_covalent
Ti2Cu,A2B,2.2,1.194328562,130,0.12,500,53.09333333,54.62912022,47.867,63.546,1.66,0.0288,1.54,1.9,24.33333333,10.88888889,22,29,3.795936667,0.2344435638,3.45356,4.48069,5.990666667,4.408470222,4.506,8.96,138.3333333,5.555555556,135,140,128,128,112,136,8986127.851,9.433333333,2.722222222,7.1,10.6,6.333333333,10.88888889,4,11,0.6103855551,0.01703871762,0.08838834765
Ti2Fe,A2B,0.4,0.2029170013,,,,50.52633333,14.14410756,47.867,55.845,1.636666667,0.01868888889,1.54,1.83,23.33333333,3.555555556,22,26,3.644617967,0.07300629325,3.45356,4.0267339,5.627333333,2.514776889,4.506,7.87,140,0,140,140,129.3333333,88.88888889,116,136,9203900.261,9.433333333,2.722222222,7.1,10.6,5.333333333,3.555555556,4,8,0.6170967417,0,0.07289760631
Ti2FeO.3,A2B,0.5,0.2381280646,,,,47.38748485,111.3819777,15.999,55.845,1.800606061,0.2857511478,1.54,3.44,21.93939394,22.66299357,8,26,3.998705765,1.320151048,3.45356,7.53958375,5.115876485,4.902041887,0.001308,7.87,132.7272727,528.9256198,60,140,123.3030303,444.4536272,63,136,8462399.73,9.848484848,4.19825528,7.1,14,5.393939394,3.269054178,4,8,0.5499793951,0.1732754882,0.1709777027
Ti2FeO.5,A2B,0.7,0.3214068479,,,,45.59385714,158.099449,15.999,55.845,1.894285714,0.4142244898,1.54,3.44,21.14285714,31.83673469,8,26,4.20104165,1.920220715,3.45356,7.53958375,4.823615429,6.03129787,0.001308,7.87,128.5714286,783.6734694,60,140,119.8571429,614.9795918,63,136,8038685.141,10.08571429,4.886938776,7.1,14,5.428571429,3.102040816,4,8,0.511973935,0.2177324216,0.2069028301
Ti2Mn,A2B,0.9,0.456121223,,,,50.22401467,11.11103628,47.867,54.938044,1.543333333,0.00002222222222,1.54,1.55,23,2,22,25,3.541376333,0.0154234168,3.45356,3.717009,5.437333333,1.734763556,4.506,7.3,140,0,140,140,130.3333333,64.22222222,119,136,9377404.14,9.53,2.2898,7.39,10.6,5,2,4,7,0.6111582201,0,0.06148754619
Ti2Ni,A2B,1.9,0.9969828746,,,,51.4758,26.04687488,47.867,58.6934,1.663333333,0.03042222222,1.54,1.91,24,8,22,28,3.768352833,0.1981890558,3.45356,4.3979385,5.970666667,4.290496889,4.506,8.9,138.3333333,5.555555556,135,140,127.3333333,150.2222222,110,136,8882904.89,9.266666667,3.555555556,6.6,10.6,6,8,4,10,0.6202563575,0.01703871762,0.09625537336
Ti2Ni,A2B,2,1.050526531,,,,51.4758,26.04687488,47.867,58.6934,1.663333333,0.03042222222,1.54,1.91,24,8,22,28,3.768352833,0.1981890558,3.45356,4.3979385,5.970666667,4.290496889,4.506,8.9,138.3333333,5.555555556,135,140,127.3333333,150.2222222,110,136,8882904.89,9.266666667,3.555555556,6.6,10.6,6,8,4,10,0.6202563575,0.01703871762,0.09625537336
Ti2Ni,A2B,2.2,1.157942331,,,,51.4758,26.04687488,47.867,58.6934,1.663333333,0.03042222222,1.54,1.91,24,8,22,28,3.768352833,0.1981890558,3.45356,4.3979385,5.970666667,4.290496889,4.506,8.9,138.3333333,5.555555556,135,140,127.3333333,150.2222222,110,136,8882904.89,9.266666667,3.555555556,6.6,10.6,6,8,4,10,0.6202563575,0.01703871762,0.09625537336
Ti2Ni,A2B,1.6,0.837004878,,0.11,150,51.4758,26.04687488,47.867,58.6934,1.663333333,0.03042222222,1.54,1.91,24,8,22,28,3.768352833,0.1981890558,3.45356,4.3979385,5.970666667,4.290496889,4.506,8.9,138.3333333,5.555555556,135,140,127.3333333,150.2222222,110,136,8882904.89,9.266666667,3.555555556,6.6,10.6,6,8,4,10,0.6202563575,0.01703871762,0.09625537336
Ti2Ni,A2B,1.7,0.8902223805,,,,51.4758,26.04687488,47.867,58.6934,1.663333333,0.03042222222,1.54,1.91,24,8,22,28,3.768352833,0.1981890558,3.45356,4.3979385,5.970666667,4.290496889,4.506,8.9,138.3333333,5.555555556,135,140,127.3333333,150.2222222,110,136,8882904.89,9.266666667,3.555555556,6.6,10.6,6,8,4,10,0.6202563575,0.01703871762,0.09625537336
